,Cz,Cx,i,j,gamma,V_max,V_sr,V_min,w_max,w_sr,w_min
43,0.5300571233691644,0.044977884742290565,1.371070216847455,0.11592527053390274,0.0846520022214896,94.27315822600897,85.751433881862,76.28360547119269,7.970883793657249,7.250364021677917,6.449850265060062
44,0.5400571233691644,0.04554835798554761,1.3583465270842028,0.11415750161026571,0.08414076246711272,93.3982924434032,84.95565068413812,75.57568481321972,7.849334103935123,7.139801690069384,6.3514951367245995
45,0.5500571233691645,0.04612949314167977,1.3459693665938222,0.11248230566045334,0.08366731754334486,92.54725360165715,84.1815406156717,74.88704435111939,7.734149621845392,7.0350291897522235,6.258290583557178
46,0.5600571233691644,0.04672129021068704,1.3339233011699256,0.11089383535015847,0.08322964967945046,91.71898046308732,83.42813836825873,74.21682535650831,7.624928291632216,6.935680808383579,6.169911271568433
47,0.5700571233691644,0.04732374919256943,1.3221938402623536,0.10938670304179662,0.08282588199358529,90.91247667469065,82.69453765319233,73.56422160414881,7.5212996657399405,6.841419584630304,6.086057443375509
48,0.5800571233691644,0.04793687008732693,1.310767364205438,0.10795593757960735,0.08245426641604683,90.12680576444642,81.97988664986863,72.92847532307505,7.422921933408026,6.751934605360986,6.006452513811498
49,0.5900571233691644,0.04856065289495955,1.299631058177557,0.10659694578392336,0.0821131728327624,89.36108660045373,81.28338387539091,72.30887352223462,7.329479273062776,6.666938597365463,5.930840927543572
50,0.6000571233691644,0.04919509761546727,1.2887728521695907,0.10530547807322461,0.0818010793076755,88.61448926323399,80.6042744299909,71.70474465045359,7.240679488530639,6.586165777240187,5.858986246352806
51,0.6100571233691644,0.049840204248850106,1.2781813663277415,0.10407759771251694,0.08151656326108063,87.88623128756805,79.94184657858125,71.11545555542014,7.1562518945932805,6.50936992807634,5.790669438175453
52,0.6200571233691644,0.050495972795108056,1.2678458611121224,0.10290965325442605,0.08125829349670027,87.17557423546012,79.2954286335028,70.5404087106082,7.075945422069967,6.436322675831335,5.725687343780514
53,0.6300571233691643,0.05116240325424111,1.2577561917783535,0.10179825379716174,0.08102502298381165,86.48182056634637,78.66438610764739,69.97903968272446,6.999526916584602,6.366811941877043,5.66385130017234
54,0.6400571233691643,0.05183949562624929,1.2479027667465883,0.10074024673281215,0.0808155823123581,85.80431077459872,78.04811911071407,69.43081481544417,6.926779608564884,6.300640551301785,5.604985902550214
55,0.6500571233691643,0.052527249911132584,1.2382765094721864,0.0997326977016224,0.08062887374901144,85.14242076779762,77.44605996447014,68.8952291079717,6.857501734922339,6.237624979182173,5.548927889004498
56,0.6600571233691643,0.053225666108890984,1.2288688234756875,0.0987728725041097,0.08046386583082343,84.49555946223457,76.85767101560577,68.37180426937816,6.791505295350862,6.17759421930475,5.4955251341428815
57,0.6700571233691643,0.053934744219524496,1.2196715602277455,0.09785822075399707,0.08031958844062219,83.86316657471846,76.28244262714774,67.86008693178336,6.728614928321864,6.120388761764396,5.444635739572297
58,0.6800571233691644,0.054654484243033125,1.2106769896179577,0.0969863610817801,0.0801951283148369,83.24471059204733,75.71989133147856,67.35964700730051,6.668666893699119,6.065859667544641,5.396127210654961
59,0.6900571233691644,0.055384886179416865,1.2018777727657606,0.09615506772192337,0.08008962494011801,82.6396869015178,75.16955812983679,66.8700761752888,6.611508150490328,6.01386772963493,5.349875710246803
60,0.7000571233691643,0.05612595002867571,1.1932669369572753,0.09536225833675468,0.08000226680007638,82.04761606761257,74.63100692478129,66.39098648788966,6.5569955196325695,5.964282711495209,5.305765381243285
